#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
su[u+Kj@RT	心が広い	心[こころ]が 広[ひろ]い	to be big-hearted		0155
QV=sP.QCB6	心を痛める	心[こころ]を 痛[いた]める	to be pained		0155
vf+%Biw4_[	心を込める	心[こころ]を 込[こ]める	to do whole-heartedly		0155
"mKjG{z#Erc"	腰掛ける	腰[こし] 掛[か]ける	to sit	反.  立[た]ち 上[あ]がる<br>to rise, to stand up	0022
Lo3=MuY&{`	こしょう	こしょう	pepper		0014
z&9?a&5*@6	故人	故[こ] 人[じん]	deceased		0054
Br@peCB0<F	個人～	個[こ] 人[じん]～	personal [individual] ～		0031
Qf~nGq-XvU	個人競技	個[こ] 人[じん] 競[きょう] 技[ぎ]	individual sports		0031
wP4oHLSchA	個人旅行	個[こ] 人[じん] 旅[りょ] 行[こう]	individual travel	反.  団[だん] 体[たい] 旅[りょ] 行[こう]<br>group tour	0030 0031
dg(lo$pC:7	コスト	コスト	cost		0062
"LM|AR^C|,#"	国家	国[こっ] 家[か]	country, nation		0066
M!TOl~O<z6	国会	国[こっ] 会[かい]	national assembly, the Diet		0066
kFiD8rOU2x	小遣い帳	小[こ] 遣[づか]い 帳[ちょう]	pocket money spending book		0173
E9MRLgA7&w	こつこつ	こつこつ	steadily		0143
iru??`;8,x	骨折	骨[こっ] 折[せつ]	bone fracture		0022
gw.,YXK.~_	古典	古[こ] 典[てん]	classic		0026
"j#Fd)bcNz$"	古典的	古[こ] 典[てん] 的[てき]	classical		0027
t&+%.`w9oA	言葉遣い	言[こと] 葉[ば] 遣[づか]い	wording, phrasing		0002 0003 0161
E*.qvrt2j%	子ども扱い	子[こ]ども 扱[あつか]い	treating like a child		0161
l;`7xg!RBN	子供連れ	子[こ] 供[ども] 連[づ]れ	accompanied by children		0161
y~JVye|2D%	好み	好[この]み	liking, taste	反.  苦[にが] 手[て]<br>weak [poor] at ～	0014
bEuKNDp,:%	コピー	コピー	copy		0050
N>6/i&-<9S	（ご）夫妻	（ご） 夫[ふ] 妻[さい]	husband and wife		0002
cW8).r>T;;	こぼす	こぼす	to spill		0018
gDKsFJ6+r@	こぼれる	こぼれる	to overflow		0018
n>^UC3N:dz	コマーシャル	コマーシャル	commercial		0046
"e&tr{GY6#U"	コミュニケーション	コミュニケーション	communication		0002
"G#Y<!xH>pb"	～込む	～ 込[こ]む	into		0055 0160
uS7*T.wHx!	小屋	小[こ] 屋[や]	hut		0070
kTzz%}{bW(	娯楽	娯[ご] 楽[らく]	amusement, entertainment		0112
gA(7z|IwQ4	娯楽番組	娯[ご] 楽[らく] 番[ばん] 組[ぐみ]	entertainment programme		0046
PL@y[6}X{:	殺し合う	殺[ころ]し 合[あ]う	to kill each other		0160
h^<<VkR`)7	殺す	殺[ころ]す	to kill		0058
EMRa2CE.wm	今～	今[こん]～	this ～		0039 0166
G3?QkM|w*b	今学期	今[こん] 学[がっ] 期[き]	this term		0038 0039 0166
BpGPkDu;fz	今後	今[こん] 後[ご]	from now on		0082
O*K]P!V91A	混雑	混[こん] 雑[ざつ]	congestion		0030
lR610wq<jX	今シーズン	今[こん]シーズン	this season		0166
M_yfN]=}=5	今世紀	今[こん] 世[せい] 紀[き]	this century		0166
r4FPg={JN]	献立	献[こん] 立[だて]	menu		0018
GB+$a=FHPH	昆虫	昆[こん] 虫[ちゅう]	insect		0070
g29XY._q6&	コントロール	コントロール	control		0113
By5~qTeB`K	今年度	今[こん] 年[ねん] 度[ど]	this financial [fiscal] year		0039 0067 0166
c0tf+kYfKF	婚約	婚[こん] 約[やく]	engagement		0054
n49dqS8`_O	混乱	混[こん] 乱[らん]	confusion		0066
6P7^9M@LB	～差	～ 差[さ]	difference between [in]		0173
r,W59VJwQ/	～さ	～さ	(used to turn adjectives into nouns)		0179
uOOB(**[)^	再～	再[さい]～	re-		0051 0167
o6):3tH_yB	最～	最[さい]～	most ～		0167
BLj[0buaWY	再インストール	再[さい]インストール	reinstall		0051
r)^tJdVvK2	災害	災[さい] 害[がい]	disaster		0058
nCzNHt9YAd	在学中	在[ざい] 学[がく] 中[ちゅう]	at school		0038
q7R_pW/xB7	再起動	再[さい] 起[き] 動[どう]	restart		0050 0051
l3=9/0~).`	細菌	細[さい] 菌[きん]	bacteria		0074
qPpVul*9^I	最高気温	最[さい] 高[こう] 気[き] 温[おん]	highest temperature		0078
P?~hZ_{PL+	再三	再[さい] 三[さん]	again and again		0106
B@0(7>e[?V	財政的	財[ざい] 政[せい] 的[てき]	financial		0066
IY6sH85&z<	最前列	最[さい] 前[ぜん] 列[れつ]	front row		0167
N?7]1~%VQ,	最大	最[さい] 大[だい]	biggest		0078
D^@6NMnK5o	最低気温	最[さい] 低[てい] 気[き] 温[おん]	lowest temperature		0078
GGHK3fvP|8	採点	採[さい] 点[てん]	scoring		0038
AC5VkWALfb	才能	才[さい] 能[のう]	ability		0042
qJXZ|)To$l	栽培	栽[さい] 培[ばい]	cultivation		0070
b|%9:>uFCK	再発防止	再[さい] 発[はつ] 防[ぼう] 止[し]	prevention of recurrence		0059
I8=.SW~LBL	裁判	裁[さい] 判[ばん]	trial		0066
b<?B*^&0?>	裁判官	裁[さい] 判[ばん] 官[かん]	judge		0172
iRX&Va@fmg	裁判所	裁[さい] 判[ばん] 所[しょ]	courthouse		0172
FM}2r{gL|o	裁縫	裁[さい] 縫[ほう]	sewing		0026
L51X&=X}LR	再放送	再[さい] 放[ほう] 送[そう]	rebroadcast, repeat		0046
zKwYKrf=ES	財務相	財[ざい] 務[む] 相[しょう]	finance minister		0066 0067
vN_IUUm.AY	財務省	財[ざい] 務[む] 省[しょう]	Ministry of Finance		0066 0067
tL8=nMsFjT	最優先	最[さい] 優[ゆう] 先[せん]	highest priority		0167
wfLjr@gc)`	最有力	最[さい] 有[ゆう] 力[りょく]	most dominant		0167
L*D]vScF-l	栄える	栄[さか]える	to flourish		0066
zSZ?]C{e~U	探し回る	探[さが]し 回[まわ]る	to look around		0160
e{lkQ11}aF	逆らう	逆[さか]らう	to defy, to go against		0089
"o=#[u?`SSV"	～先	～ 先[さき]	(used to mean the other party)		0063
jAZ8hVFMwr	詐欺	詐[さ] 欺[ぎ]	fraud		0058
Q1}$1MYIUB	索引	索[さく] 引[いん]	index		0026
u|-xPM,.33	削減	削[さく] 減[げん]	reduction		0062
yG`wD_]3<^	削除	削[さく] 除[じょ]	deletion		0050
ebkz_{>9@v	作成	作[さく] 成[せい]	making		0050
"hLsj48oI{#"	作物	作[さく] 物[もつ]	crop		0062
i%KQ`+Y.J&	避ける	避[さ]ける	to avoid		0010 0030
qHkBR&ebxj	差し～	差[さ]し～	(emphatic or polite prefix)		0059 0161
pvHU&0u==l	差し押さえる	差[さ]し 押[お]さえる	to seize		0059
pRvyL4m?.e	差しかかる	差[さ]しかかる	to approach		0058 0059
*[mv>nG7}	差し出す	差[さ]し 出[だ]す	to hold out		0161
ue(O53*T-~	差し支えない	差[さ]し 支[つか]えない	having no objection		0107
AdO{|So3-K	差し引く	差[さ]し 引[ひ]く	to deduct		0161
w9mVr*a!)+	刺身	刺[さし] 身[み]	sashimi		0014
bU_OsX8,X.	座席	座[ざ] 席[せき]	seat		0030
F@@S&Ynw/}	定める	定[さだ]める	to enact		0066
o<vSz~z>r3	撮影	撮[さつ] 影[えい]	filming		0046
gnCJ)sd1Mu	撮影所	撮[さつ] 影[えい] 所[じょ]	studio		0172
F9Swe:[irf	作家	作[さっ] 家[か]	writer		0026
A{d[`v^;2Y	さっさと	さっさと	quickly		0142
qpbrb`ssqd	殺人事件	殺[さつ] 人[じん] 事[じ] 件[けん]	murder case		0058 0059
qmZ+J@T}tI	早速	早[さっ] 速[そく]	immediately		0043 0137
hq3=MYlcJB	ざっと	ざっと	roughly		0143
veZX0ejc7o	さっぱり	さっぱり	refreshing, completely		0014 0130
wE8z9|aP?q	砂漠	砂[さ] 漠[ばく]	desert		0034
yhsXN*vrKy	砂漠化	砂[さ] 漠[ばく] 化[か]	desertification		0070
u$s<~hC%FB	寂しさ	寂[さび]しさ	sadness, loneliness		0179
u*=h^$Yfxz	作法	作[さ] 法[ほう]	manners		0010
jx+.tLIPiG	サポート	サポート	support		0112
owCjBeX1eY	サボる	サボる	to skip		0113
LQr^Nn5`o~	さます	さます	to get sober, to wake up		0014
Q[9(*PQOaD	冷める	冷[さ]める	to cool		0010
bvXcWU*sP+	さめる	さめる	to become sober		0014
j%sq1LOD|p	更に	更[さら]に	further		0106
HiJH=dSaR2	騒がしい	騒[さわ]がしい	noisy		0107
s}t5y,g9h?	～産	～ 産[さん]	product of ～, -made		0015 0173
DZnaYFj<X^	産業別	産[さん] 業[ぎょう] 別[べつ]	by industry		0173
kQ{HI8,B:c	参考～	参[さん] 考[こう]～	reference ～		0039
G*R4hRk1SI	参考書	参[さん] 考[こう] 書[しょ]	reference book		0039
fgohfQ.U~D	参考文献	参[さん] 考[こう] 文[ぶん] 献[けん]	reference literature		0038 0039
P&sFbPjF0`	産出量	産[さん] 出[しゅつ] 量[りょう]	output		0071
GL:b7O2;+R	三世代	三[さん] 世[せ] 代[だい]	three generations		0002
mSUy.w-jns	三人姉妹	三[さん] 人[にん] 姉[し] 妹[まい]	three sisters		0002
biw@Pk6|vR	三人連れ	三[さん] 人[にん] 連[づ]れ	party of three		0161
x=m;s8cV?A	サンプル	サンプル	sample		0074 0112
D@K<kQ%o8f	～氏	～ 氏[し]	Mr. [Ms.] ～		0002
LQHJFI6OL@	～士	～ 士[し]	-er, person (in a profession)		0043 0172
"Hne1``4$~#"	～師	～ 師[し]	member (of a profession)		0172
o:U?DH8PB8	～児	～ 児[じ]	～ child		0055
dj_lXL&/t;	仕上がる	仕[し] 上[あ]がる	to be finished		0018 0019
jL%=&2u*[O	飼育	飼[し] 育[いく]	breeding		0070
P`CPSVx/9l	シーズン	シーズン	season		0034
bjy^+@dD]&	強いる	強[し]いる	to force, to thrust		0062
l@czW.6|C@	自営業	自[じ] 営[えい] 業[ぎょう]	family-operated business, self-employment		0172
iaX+/K6!Zp	塩辛い	塩[しお] 辛[から]い	salty		0014
F:R@SsvWwm	時間割	時[じ] 間[かん] 割[わり]	timetable		0038
PGdd;pV<R,	～式	～ 式[しき]	～ ceremony, ～ style [system]		0055 0173
EIAbBz]-H4	至急	至[し] 急[きゅう]	urgent		0137
knd><(`JF	試供品	試[し] 供[きょう] 品[ひん]	sample		0112
bqxDiAr!pH	しきりに	しきりに	frequently		0015 0125
dQP=5NzxXp	資金	資[し] 金[きん]	funds, money		0054
iE{:iL/%g0	～資源	～ 資[し] 源[げん]	～ resources		0063
PJ8op!wm^9	～事件	～ 事[じ] 件[けん]	～ incident [case]		0059
F`&$f&``s]	地獄	地[じ] 獄[ごく]	hell	反.  天[てん] 国[ごく]<br>heaven	0054
QV_yt+Y>-(	仕事仲間	仕[し] 事[ごと] 仲[なか] 間[ま]	workmate, colleague		0002 0003
JKNq$@bT/j	仕事ぶり	仕[し] 事[ごと]ぶり	job performance, way of working		0161
"Mi#L&WW^0h"	資産	資[し] 産[さん]	asset		0062
e~G=*r]N;{	指示	指[し] 示[じ]	instructions, directions		0042
B%|*!|`syX	自習	自[じ] 習[しゅう]	self-study		0038
fizB7bW,@]	市場	市[し] 場[じょう]	market		0062
v.O:,pjrlG	システム	システム	system		0074
"vUJvj/h#c{"	静まる	静[しず]まる	to subside (vi.)		0178
GF}^wfD}Jj	沈む	沈[しず]む	to sink		0034
Co9bKj}mvH	静める	静[しず]める	to calm (vt.)		0178
HHHLKa@mZK	姿勢	姿[し] 勢[せい]	posture		0010
HEcl-wC{Hy	事前	事[じ] 前[ぜん]	in advance		0082
r2K_|go:gz	自然科学	自[し] 然[ぜん] 科[か] 学[がく]	natural science		0038
bnU&EAq&ck	自然環境	自[し] 然[ぜん] 環[かん] 境[きょう]	natural environment		0070
DAJ;Fg|;Uo	自然破壊	自[し] 然[ぜん] 破[は] 壊[かい]	destruction of nature		0070 0071
NymaF2.DuU	自然保護	自[し] 然[ぜん] 保[ほ] 護[ご]	nature conservation		0071
h*t_a`2ggN	子孫	子[し] 孫[そん]	descendant	反.  祖[そ] 先[せん]<br>ancestor	0002
fpCwiQ,&.!	次第に	次[し] 第[だい]に	gradually		0039 0137
pF:Tjxh*g)	従う	従[したが]う	to obey	反.  違[い] 反[はん]する<br>to violate	0026
rdU:!eYus6	親しい	親[した]しい	close		0002
A3/:,i&]Ux	親しみ	親[した]しみ	familiarity		0179
BOA,H1u~@m	親しむ	親[した]しむ	to be friendly		0178
"g&r#Vr32!j"	質	質[しつ]	quality		0014
O!HLyM9^;Z	実家	実[じっ] 家[か]	family home		0002
MR,y)gw/c@	失業	失[しつ] 業[ぎょう]	unemployment		0042
"AqEKGQbkO#"	失業率	失[しつ] 業[ぎょう] 率[りつ]	unemployment rate		0173
c4fAEzVVb`	じっくり	じっくり	carefully and deliberately		0047 0143
M14xSx^&&:	実験	実[じっ] 験[けん]	experiment, test		0038
q0IQQoUv*&	しつこい	しつこい	persistent, stubborn		0014
lOa<Uj-cuQ	実施	実[じっ] 施[し]	implementation		0082
OmK}?hQ;ve	湿度	湿[しつ] 度[ど]	humidity		0034
hkvU0m1~AI	しっとり	しっとり	moist		0142
AY}61$5~o.	実に	実[じつ]に	truly		0027 0124
x!wjEeKH>O	執筆	執[しっ] 筆[ぴつ]	writing		0026
"fYA<lS3I+#"	失望	失[しつ] 望[ぼう]	disappointment		0010 0113
kpjF7g4]FA	実用化	実[じつ] 用[よう] 化[か]	practical application		0173
FcM]dpOVSa	失恋	失[しつ] 恋[れん]	broken heart		0010
xQ)_:7co~!	指定	指[し] 定[てい]	designation		0030
NJ13/aMzCn	指導	指[し] 導[どう]	guidance		0026
md|4$m`de6	児童	児[じ] 童[どう]	child		0038
O]{=)j48[$	次年度	次[じ] 年[ねん] 度[ど]	next financial [fiscal] year		0066 0067
PQQ:>vMLl1	支配	支[し] 配[はい]	control, rule		0066
gJq|IKZ<mw	芝居	芝[しば] 居[い]	play		0026
G8LqqT!BfI	しばしば	しばしば	often		0106
"hPqU~AKa?#"	支払い	支[し] 払[はら]い	payment		0062
ihf^k}Jb7L	支払う	支[し] 払[はら]う	to pay		0062
rYy@5n>)VZ	縛る	縛[しば]る	to tie, to restrict		0089
Q6RsFP&U(3	地盤	地[じ] 盤[ばん]	foundation, ground		0034
Dm=mII0m6`	しびれる	しびれる	to become numb		0022
LMzv8:u|2A	死亡事故	死[し] 亡[ぼう] 事[じ] 故[こ]	fatal accident		0059
Jg}{:9{/~7	絞る	絞[しぼ]る	to wring, to focus on ～		0018 0089
voE/s{Y*Tt	搾る	搾[しぼ]る	to squeeze		0089
"hb#TCJceQg"	資本金	資[し] 本[ほん] 金[きん]	capital		0042
O43z^guG*T	しま模様	しま 模[も] 様[よう]	stripped pattern		0018 0019
LAnn8Z[E:s	自慢	自[じ] 慢[まん]	pride		0010
F5|e1v$}OB	地味	地[じ] 味[み]	plain	反.  派[は] 手[で]<br>colourful, showy	0006
x)IC)i7@AL	染み込む	染[し]み 込[こ]む	to permeate, to soak into		0160
bC4fIHNBjt	しみじみ	しみじみ	deeply		0143
EA|c,7n?R?	染みる	染[し]みる	to soak, to pierce, to be deeply moved		0089
gPNLXj>_vH	～しむ	～しむ	(turns adjectives into verbs)		0178
i)P8*V0W,F	じめじめ	じめじめ	gloomy		0142
L4-6-6Kvgh	～者	～ 者[しゃ]	～ person, -er		0055 0075 0172
A/%bzU_[P?	ジャーナリスト	ジャーナリスト	journalist		0046
yoZk6-f;.s	シャイ	シャイ	shy		0107
Nl5~7vrCOd	社会科学	社[しゃ] 会[かい] 科[か] 学[がく]	social science		0038
O88HxzQ|H|	しゃがむ	しゃがむ	to squat, to crouch		0022
"BS/#^r*db+"	若干	若[じゃっ] 干[かん]	a bit, slightly		0051 0106 0124
zD>Jc&K9|&	借金	借[しゃっ] 金[きん]	debt		0062
zY7wRt@p.V	しゃっくり	しゃっくり	hiccup		0022
s(TH3_n=5s	しゃぶる	しゃぶる	to suck		0014
z}{Z1}jrQ%	しゃれ	しゃれ	joke, pun		0006
v.m@7Sx9@4	ジャンル	ジャンル	genre, field		0112
,8}x8vZ!C	主～	主[しゅ]～	main [principal] ～		0167
huqx_Lt9_V	重～	重[じゅう]～	hard [heavy] ～		0167
f}Y@2`M,Tt	週明け	週[しゅう] 明[あ]け	beginning of the week		0161
KeX]^(Y)4]	周囲	周[しゅう] 囲[い]	surrounding		0002
l$yjY)Tn1h	収穫量	収[しゅう] 穫[かく] 量[りょう]	crop yield		0173
o~/yT9%|m{	周期	周[しゅう] 期[き]	cycle, period		0082
g.~LUOq{DK	重金属	重[じゅう] 金[きん] 属[ぞく]	heavy metal		0167
o;`xKtN^YZ	重工業	重[じゅう] 工[こう] 業[ぎょう]	heavy industry		0167
"B/7SXOR.#_"	終始	終[しゅう] 始[し]	from beginning to end		0125
DeT/<f}`P*	重視	重[じゅう] 視[し]	emphasis, regard ～ as important		0010
u$i|Us(x3O	収集	収[しゅう] 集[しゅう]	collection		0074
mU/<Q?N4wt	就職	就[しゅう] 職[しょく]	employment		0042
rG:nGJ}6{g	就職活動	就[しゅう] 職[しょく] 活[かつ] 動[どう]	job hunting		0042
IGfb52[Sot	修正	修[しゅう] 正[せい]	correction		0113 0119
ipL0%<wg|m	住宅街	住[じゅう] 宅[たく] 街[がい]	residential area		0172
N}Ennb:&pM	充電器	充[じゅう] 電[でん] 器[き]	charger		0172
l/>}@gE$BB	収入	収[しゅう] 入[にゅう]	income		0062
r-7qsQ$)C.	就任	就[しゅう] 任[にん]	inauguration, taking up a post		0042
My/,oIe_u)	周辺	周[しゅう] 辺[へん]	around		0083
"k#DLkiu;(8"	住民団体	住[じゅう] 民[みん] 団[だん] 体[たい]	residents' association		0066 0067
iU>gtIid}X	重役	重[じゅう] 役[やく]	executive		0042
o5pinGE>O+	従来	従[じゅう] 来[らい]	conventional		0082 0125
Qr3e<cNS[h	従来通り	従[じゅう] 来[らい] 通[どお]り	as usual		0082 0083
J(aqURLG[3	修理	修[しゅう] 理[り]	repair		0050 0119
bnjgdJ4j_F	終了	終[しゅう] 了[りょう]	finish		0050
"Ebi(zb#KRP"	重労働	重[じゅう] 労[ろう] 働[どう]	hard labour		0167
oSJE67A0U$	縮小	縮[しゅく] 小[しょう]	shrink	反.  拡[かく] 大[だい]<br>enlargement, magnification	0050
PUNUiC}4?A	宿泊	宿[しゅく] 泊[はく]	lodging	反.  日[ひ] 帰[がえ]り<br>one-day trip	0030
Bx-pi)l~7;	宿泊料	宿[しゅく] 泊[はく] 料[りょう]	room charge		0172
`{1l!=e4I	主原料	主[しゅ] 原[げん] 料[りょう]	main raw materials		0167
dB<gn*9TQz	取材	取[しゅ] 材[ざい]	news gathering		0046
p>IXORVR5t	主産地	主[しゅ] 産[さん] 地[ち]	main production area		0167
o<gi?>b8u_	首相	首[しゅ] 相[しょう]	prime minister		0066
pig07h{pMU	受賞	受[じゅ] 賞[しょう]	prize winning		0074
nqKTCGh*qI	受信	受[じゅ] 信[しん]	reception	反.  送[そう] 信[しん]<br>transmission, sending	0050
p<K2[%cn(m	主成分	主[しゅ] 成[せい] 分[ぶん]	principal component		0167
yq}$S<Z3(N	主張	主[しゅ] 張[ちょう]	assertion, insistence		0113
fB[/dR2}d>	出荷	出[しゅっ] 荷[か]	shipment		0062
c}pO?&L~&	出産費用	出[しゅっ] 産[さん] 費[ひ] 用[よう]	delivery charges		0055
rFI)@7[ZGz	出場	出[しゅつ] 場[じょう]	participation		0026
"xf#hxefX0w"	出生届	出[しゅっ] 生[しょう] 届[とどけ]	birth registration		0173
fMwQo!nuaA	出張	出[しゅっ] 張[ちょう]	business trip		0042
"D;)voT.]F#"	首都	首[しゅ] 都[と]	capital city		0030
sM}tpR@^NO	首脳	首[しゅ] 脳[のう]	leaders		0066
u.4NBs2%OA	需要	需[じゅ] 要[よう]	demand		0062
yKxwZlt;Td	受話器	受[じゅ] 話[わ] 器[き]	phone receiver		0172
suArEGB3O(	純粋	純[じゅん] 粋[すい]	pure		0006 0100
"Hg#;^ndtV}"	順調	順[じゅん] 調[ちょう]	smooth		0107
AE|*;QCrF<	諸～	諸[しょ]～	various ～		0166
lr+P9R`?>3	～所	～ 所[しょ]	～ place [facility]		0055 0172
j0*Tq,x$zZ	～署	～ 署[しょ]	～ station		0172
P+4U2p}3.M	少～	少[しょう]～	small ～		0167
L-ZB@86+In	～省	～ 省[しょう]	Ministry of ～		0067
ug&IJRxvqV	～相	～ 相[しょう]	～ Minister		0067
K:&4=,R?2v	～証	～ 証[しょう]	～ membership card [licence]		0173
JRuLK3*O(q	～場	～ 場[じょう]	～ place [area, field]		0172
MfYDBwkw$q	～状	～ 状[じょう]	～ card [letter]		0173
N>?rOu:8wF	消化	消[しょう] 化[か]	digestion		0014
lhx4~XIgX1	消火器	消[しょう] 火[か] 器[き]	fire extinguisher		0172
Oe:oCa`p$V	奨学金	奨[しょう] 学[がく] 金[きん]	scholarship		0172
FbHUTY!ZDI	乗客	乗[じょう] 客[きゃく]	passenger		0030
o(N_Qlm$2o	消去	消[しょう] 去[きょ]	erasure		0050
J-O?4|]!4`	消極的	消[しょう] 極[きょく] 的[てき]	passive	反.  積[せっ] 極[きょく] 的[てき]<br>positive, assertive	0006 0007
u=Q!Yy/vDG	賞金	賞[しょう] 金[きん]	prize money		0026
eM~2jxw5hQ	衝撃的	衝[しょう] 撃[げき] 的[てき]	shocking		0046 0047
K%mm&Ah:X0	証言	証[しょう] 言[げん]	testimony		0066
"x9D&Wa-#MQ"	証拠	証[しょう] 拠[こ]	evidence		0058
)3c$ONYC:	正午過ぎ	正[しょう] 午[ご] 過[す]ぎ	past noon		0082 0083
IOS[UN/L]/	詳細	詳[しょう] 細[さい]	details	反.  大[おお]まか<br>rough	0046
EEwzz6&i;I	上司	上[じょう] 司[し]	boss	反.  部[ぶ] 下[か]<br>subordinate	0002
KkXwwkV_&G	乗車	乗[じょう] 車[しゃ]	boarding	反.  下[げ] 車[しゃ]<br>alighting	0030
rTUX-u(g!:	上旬	上[じょう] 旬[じゅん]	first ten days of the month		0082
i_MXtw]O~e	少々	少[しょう] 々[しょう]	a little		0078
L|UmpO|uhm	症状	症[しょう] 状[じょう]	symptom		0022
yYys<g3&c}	上昇	上[じょう] 昇[しょう]	rising		0062
D]{}0?H5?8	使用済み	使[し] 用[よう] 済[ず]み	used, spent		0161
KHyEb:Cd&!	承諾	承[しょう] 諾[だく]	acceptance		0054
u4_>Av&cN`	上達	上[じょう] 達[たつ]	progress		0026
shML!mXK&T	商店街	商[しょう] 店[てん] 街[がい]	shopping street [area]		0172
FDRhJbZf->	消毒	消[しょう] 毒[どく]	disinfection		0022
HP1?u8GK5]	衝突	衝[しょう] 突[とつ]	collision		0058
EArCsTTC79	勝敗	勝[しょう] 敗[はい]	victory or defeat		0026
FnxtE8NW4}	消費	消[しょう] 費[ひ]	consumption		0074
kP4iSd*zdN	消費者	消[しょう] 費[ひ] 者[しゃ]	consumer		0074 0075
vHvlCh1>VZ	賞品	賞[しょう] 品[ひん]	prize, trophy		0026
A2Oyza:+6	勝負	勝[しょう] 負[ぶ]	game		0026
n)M2(7v}Dc	丈夫	丈[じょう] 夫[ぶ]	strong, solid		0074
bby;_f3$@&	情報	情[じょう] 報[ほう]	information		0046
JNWCytBUd2	消防士	消[しょう] 防[ぼう] 士[し]	fireman		0172
I4C*.[1&zQ	消防署	消[しょう] 防[ぼう] 署[しょ]	fire station		0172
y&p%?eI`vJ	証明	証[しょう] 明[めい]	proof		0038
A5v;^Hz%2]	条約	条[じょう] 約[やく]	treaty		0066
E+z/0Y/eys	しょう油	しょう 油[ゆ]	soya sauce		0014 0167
c3e}yDL2OL	～職	～ 職[しょく]	～ work		0043
hHEd=}s&[d	職場	職[しょく] 場[ば]	one's place of work		0002
"sj8QA#gPcU"	植物	植[しょく] 物[ぶつ]	plant, vegetation		0070
qu*Vvj}k}k	植民地	植[しょく] 民[みん] 地[ち]	colony		0066
A(5Qv6^N3n	食欲	食[しょく] 欲[よく]	appetite		0014
ra^{~{dLe1	食糧	食[しょく] 糧[りょう]	provisions, food		0058
ItZor}[u3n	助言	助[じょ] 言[げん]	advice		0010
HyhnK10@dU	諸事情	諸[しょ] 事[じ] 情[じょう]	various circumstances		0166
t=}skSAE_!	初旬	初[しょ] 旬[じゅん]	first ten days of the month		0082
RcAa&3.qGj	徐々に	徐[じょ] 々[じょ]に	steadily		0071 0137
EM7?t1L)TR	書籍	書[しょ] 籍[せき]	book		0026
OY&R+K%U0[	ショッキング	ショッキング	shocking		0046
gvY2S&D4><	少量	少[しょう] 量[りょう]	small amount		0167
O0Z=iX(tO?	しょっちゅう	しょっちゅう	constantly		0106 0125
Cz,g}/bZX_	しょっぱい	しょっぱい	salty		0014
I<o%V0P~b!	ショッピング街	ショッピング 街[がい]	shopping street [area]		0172
kU5!xzcP3L	庶民	庶[しょ] 民[みん]	ordinary people		0066
tb:,^=u)zo	白髪	白髪[しらが]	grey hair		0022
N+~Nk$OBuo	知り合い	知[し]り 合[あ]い	acquaintance		0002 0003
Kq3`,j<%Wp	私立大学	私[し] 立[りつ] 大[だい] 学[がく]	private university	反.  国[こく] 立[りつ] 大[だい] 学[がく]<br>national university	0038
F2S;H6t?}X	城	城[しろ]	castle		0030
sHt^Few|o~	しわ	しわ	wrinkle		0018
k_aKo+8dxC	新～	新[しん]～	new ～		0035 0067 0075 0167
tZFaE{gdZ/	～心	～ 心[しん]	～ spirit		0173
P1`M3JSyX	進化	進[しん] 化[か]	evolution	反.  退[たい] 化[か]<br>degeneration	0074
z=d.dN|})A	進学	進[しん] 学[がく]	moving onto the next stage of education		0038
x>v4<S2K`X	進学率	進[しん] 学[がく] 率[りつ]	ratio of students going on to a higher stage of education		0173
J~{UzTvpb1	新学期	新[しん] 学[がっ] 期[き]	new school term		0034 0035 0167
cX(`k7)<,s	人工的	人[じん] 工[こう] 的[てき]	artificial		0074 0075
JUV2e[}S/:	深刻	深[しん] 刻[こく]	serious		0070
JqCI!,Uu_1	深刻化	深[しん] 刻[こく] 化[か]	becoming more serious		0071
B{6hAUP*y?	診察	診[しん] 察[さつ]	medical examination		0022
dMOB-m<5Y9	信じ込む	信[しん]じ 込[こ]む	to firmly believe		0160
kLd=9MFX0i	真実	真[しん] 実[じつ]	truth		0112
QR%Yd:up2%	新商品	新[しん] 商[しょう] 品[ひん]	new product		0074 0075 0167
"OlN#@P7U[-"	申請	申[しん] 請[せい]	application		0042
"cC9yL.#WTE"	新製品	新[しん] 製[せい] 品[ひん]	new product		0035 0075 0167
I:Dh2CWI+E	親戚	親[しん] 戚[せき]	relative		0054
EvtDBC/lR&	新鮮	新[しん] 鮮[せん]	fresh		0014
q|LF|HI@X.	新体制	新[しん] 体[たい] 制[せい]	new system		0167
w@e93m=hk(	新大陸	新[しん] 大[たい] 陸[りく]	new continent		0066 0067
B+Kd/V+m)w	診断	診[しん] 断[だん]	diagnosis		0022
PP)n}^aMqi	慎重	慎[しん] 重[ちょう]	careful	反. そそっかしい<br>careless	0006
HKHt@-5LV~	新年	新[しん] 年[ねん]	New Year		0054
QhH61s*L2p	新年会	新[しん] 年[ねん] 会[かい]	New Year party		0015
"A#T]MFHz<%"	新年度	新[しん] 年[ねん] 度[ど]	new financial [fiscal] year		0034 0035 0167
w7v&BgMkd`	人物	人[じん] 物[ぶつ]	man, figure		0066
Cy%5@uzfde	人文科学	人[じん] 文[ぶん] 科[か] 学[がく]	humanities		0038
jucj-uJu}L	進歩	進[しん] 歩[ぽ]	progress		0074
