#separator:tab
#html:true
#guid column:1
#tags column:7
N-]=^bVZrC	ぼうえき	trade	貿易		[sound:36893068_161130_2247_35.mp3]	
QT:jbkeO*v	おくる	to send	送る		[sound:36953225_170101_1818_56.mp3]	
h;.Q`zxY|P	うける	to take a lesson or test	受ける		[sound:36953226_170101_1819_10.mp3]	
sDs6OfOEIv	いがい	with the exception of	以外		[sound:36956314_170103_1821_45.mp3]	
Bv{pd]E~6)	いじょう	more than, this is all	以上		[sound:36956315_170103_1822_17.mp3]	
bAGH.$Kv^w	つごう	circumstances, convenience	都合		[sound:36956316_170103_1822_30.mp3]	
y.}*<D+6P-	つもり	intention			[sound:36956317_170103_1822_46.mp3]	
Q7~.hV%a(_	てん	point, dot	点		[sound:36956318_170103_1822_59.mp3]	
d}SJC657pY	どうぐ	tool, means	道具		[sound:36956319_170103_1823_14.mp3]	
}J>W2:;(h	とうとう	finally, after all			[sound:36956320_170103_1823_28.mp3]	
h[RGUxi_rD	とくに	particularly, especially	特に		[sound:36956321_170103_1823_42.mp3]	
o9LDX^[URP	または	or, otherwise			[sound:36956322_170103_1823_55.mp3]	
x]SD.:1M-6	もうすぐ	soon			[sound:36956323_170103_1824_10.mp3]	
e-B~r_+8xy	もし	if	若し		[sound:36956324_170103_1824_27.mp3]	
yrEA38|q/v	はんたい	opposition	反対		[sound:36956325_170103_1824_41.mp3]	
KuYs.f;`3!	ほとんど	mostly			[sound:36956326_170103_1824_55.mp3]	
qHW1|FB6wt	ひじょうに	extremely	非常に		[sound:36956327_170103_1825_09.mp3]	
GUMNkX17zF	りゆう	reason	理由		[sound:36956328_170103_1825_27.mp3]	
"qB<?[S#qmI"	りょうほう	both sides	両方		[sound:36956329_170103_1825_45.mp3]	
LKiJC3eF4&	あいだ	a space	間		[sound:36955564_170103_1826_34.mp3]	
n,U@c{Nb]}	いない	within (not うち)	以内		[sound:36955565_170103_1826_47.mp3]	
"i:#Pq/~KZ)"	うち	within (not いない)			[sound:36955566_170103_1827_00.mp3]	
D+{S&,HbK/	うら	reverse side	裏		[sound:36955567_170103_1827_19.mp3]	
v%(^wh7j-~	おもて	the front	表		[sound:36955568_170103_1827_37.mp3]	
oE;ERsoPZO	いっぱい	full			[sound:36955569_170103_1827_52.mp3]	
vlH1Itquc4	まんなか	middle	真中		[sound:36955570_170103_1828_06.mp3]	
u4<ek@/k[*	とおく	distant	遠く		[sound:36955571_170103_1828_19.mp3]	
L=r)ur:mFd	ひかり	light	光		[sound:36955178_170103_1828_34.mp3]	
Lv9Z&(j]>=	ほし	star	星		[sound:36955179_170103_1828_49.mp3]	
GL8.[xZC/v	ゆめ	dream	夢		[sound:36955180_170103_1829_03.mp3]	
OL`:0rRM>_	わりあい	rate, ratio, percentage	割合		[sound:36955181_170103_1829_18.mp3]	
raeL_V]N-/	せん	line	線		[sound:36955182_170103_1829_32.mp3]	
M7>bb0?%7	すみ	corner, nook	隅		[sound:36955572_170103_1829_56.mp3]	
L5IhzX:hU0	ばい	double	倍		[sound:36955573_170103_1830_10.mp3]	
Mr):kJ-<WS	うかがいます	to go, to come (humble) (まいる)	伺います		[sound:37349959_170106_1205_11.mp3]	
yuetptF1)g	まいります	to go, to come (humble) (うかがう)	参ります		[sound:37349960_170106_1205_33.mp3]	
E,L=|&]`r:	いただきます	to eat, to drink (humble)	頂きます		[sound:37349961_170106_1205_49.mp3]	
q1U]?-c3=?	いただきます	to receive (humble) (ちょうだい)	頂きます		[sound:37349962_170106_1205_54.mp3]	
q?jF~U9rFD	ちょうだいします	to receive (humble) (いただく)	頂戴します		[sound:37349963_170106_1206_34.mp3]	
AOy(<~02z&	さしあげます	to give (humble)	差し上げます		[sound:37349964_170106_1206_29.mp3]	
Q7`&oZQ2E)	はいけんします	to see, to look at (humble)	拝見します		[sound:37349965_170106_1206_54.mp3]	
Cq>Zc7Wmsm	もうしあげます	to say (humble) (もうす)	申し上げます		[sound:37349966_170106_1207_09.mp3]	
FScvx`GQ,/	もうします	to say (humble) (もうしあげる)	申します		[sound:37349967_170106_1207_25.mp3]	
L=^ae0?HM_	いたします	to do (humble)	致します		[sound:37349968_170106_1207_45.mp3]	
OVM<;:l$z	ぞんじあげます	to know (humble)	存じ上げます		[sound:37349969_170106_1208_02.mp3]	
l9{E@DBNUb	でございます	desu (humble)			[sound:37349970_170106_1208_18.mp3]	
E0K-yJ(SCQ	ございます	to have (humble)			[sound:37349971_170106_1208_34.mp3]	
Dk[x]`,&!U	おります	to be (humble)			[sound:37349972_170106_1208_51.mp3]	
zz_f?mS)J)	おめにかかります	to meet (humble)	お目にかかります		[sound:37349973_170106_1209_10.mp3]	
vB>t.b4/&~	うかがいます	to listen (humble)	伺います		[sound:37349974_170106_1209_38.mp3]	
Pw?p&+:wk,	うかがいます	to visit (humble)	伺います		[sound:37349975_170106_1209_53.mp3]	
BF:75doQ:K	おはなしします	to talk (humble)	お話しします		[sound:37349976_170106_1210_21.mp3]	
J1XFsoa@<6	おかきします	to write (humble)	お書きします		[sound:37349977_170106_1210_36.mp3]	
"OmMO6#qISZ"	おおよぎします	to swim (humble)	お泳ぎします			
gAkd$K)XK}	おとりします	to take (humble)	お取りします		[sound:37349979_170106_1214_28.mp3]	
Ct0&Bi<R;G	おすわりします	to sit (humble)	お座りします			
"k.ZZk>#1*}"	おやすみします	to rest (humble)	お休みします		[sound:37349981_170106_1215_56.mp3]	
KKdTCom`8I	しょうかい	introduction	紹介		[sound:36956334_170106_1312_43.mp3]	
ssfg6dR8tk	ちから	strength, power	力		[sound:36956335_170106_1313_07.mp3]	
syJE!x!WU)	よてい	arrangements, plans	予定		[sound:36956336_170106_1313_22.mp3]	
w[LU*>5z:&	るす	absence	留守		[sound:36956337_170106_1313_50.mp3]	
AO9Ni[W,5+	はつおん	pronunciation	発音		[sound:36956338_170106_1314_13.mp3]	
qEWbf/?U{X	はっきり	clearly			[sound:36956339_170106_1314_28.mp3]	
FM/ow:qHp:	ばんぐみ	television or radio program	番組		[sound:36956340_170106_1314_42.mp3]	
uD$5mygPv8	よう	use	用		[sound:36956341_170106_1315_01.mp3]	
lNvfyv2XU	ようい	preparation	用意		[sound:36956342_170106_1315_21.mp3]	
IcXl|P<J*o	ようじ	things to do	用事		[sound:36956343_170106_1316_23.mp3]	
Ng+J1hpdos	ばあい	situation	場合		[sound:36956344_170106_1315_46.mp3]	
i(c$d^on_:	むし	insect	虫		[sound:36956345_170106_1316_40.mp3]	
uie/>f4?_~	ことり	small bird	小鳥		[sound:36956346_170106_1316_57.mp3]	
HN])rgnLo8	しっかり	firmly, steadily			[sound:36956347_170106_1317_13.mp3]	
vzh+{g%}}@	しっぱい	failure, mistake	失敗		[sound:36956348_170106_1317_30.mp3]	
G1+Oje>lzL	じゆう	freedom	自由		[sound:36956349_170106_1317_45.mp3]	
"HMC?|5JG#0"	じゅうぶん	enough	十分		[sound:36956350_170106_1317_58.mp3]	
"m!;Yz#@kT*"	さかん	popularity, prosperous	盛ん		[sound:36956351_170106_1318_13.mp3]	
L^Hsodx&ue	おく	one hundred million	億		[sound:36956354_170106_1318_35.mp3]	
j;$VJFloAC	おどろく	to be surprised	驚く		[sound:36921904_170107_1925_46.mp3]	
"mg<V^b`|-#"	おこる	to get angry, to be angry	怒る		[sound:36921905_170107_1925_59.mp3]	
n!sS4cB@&+	おもう	to think, to feel	思う		[sound:36921906_170107_1926_14.mp3]	
qi[9(m>y{_	かんがえる	to consider	考える		[sound:36921907_170107_1926_33.mp3]	
G`~;Z;}$;:	さわぐ	to make noise, to be excited	騒ぐ		[sound:36921908_170107_1926_48.mp3]	
N~OJqQe&++	たのしむ	to enjoy oneself	楽む		[sound:36921909_170107_1927_04.mp3]	
ME35ph+Y-+	よろこぶ	to be delighted	喜ぶ		[sound:36921910_170107_1927_18.mp3]	
HGD}*_WD==	わらう	to laugh, to smile	笑う		[sound:36921911_170107_1934_55.mp3]	
"O3OAC|K#1y"	あやまる	to apologize	謝る		[sound:36921912_170107_1935_23.mp3]	
xMmBGDrg/!	いじめる	to tease	苛める		[sound:36921913_170107_1935_37.mp3]	
"vay68#*LRV"	うつ	to hit	打つ		[sound:36921914_170107_1936_09.mp3]	
fp0TfSooMZ	なく	to weep	泣く		[sound:36924483_170107_1936_24.mp3]	
s$g^37sTB0	あそび	play	遊び		[sound:36922242_170108_2103_56.mp3]	
gQ;JLJd}Jv	おどり	a dance	踊り		[sound:36922243_170108_2104_09.mp3]	
DYlv5OQ;&x	およぎかた	way of swimming	泳ぎ方		[sound:36922244_170108_2104_24.mp3]	
fBISH,UMnP	かえり	return	帰り		[sound:36922246_170108_2104_37.mp3]	
eE|eEN>T3o	かわり	substitute, alternate	代わり		[sound:36922247_170108_2104_51.mp3]	
pb,c?do^m2	こたえ	response	答		[sound:36922248_170108_2105_05.mp3]	
"C(;H;)hZ#*"	ごちそう	a feast			[sound:36922249_170108_2105_19.mp3]	
bp_TV=8T;t	しかた	method	仕方		[sound:36922250_170108_2106_54.mp3]	
O=sQ$>PM-/	すいえい	swimming	水泳		[sound:36922251_170108_2107_06.mp3]	
MZ>F4QcxQK	ねぼう	sleeping in late	寝坊		[sound:36922252_170108_2107_20.mp3]	
J1RCR/Awst	はなみ	cherry-blossom viewing	花見		[sound:36922253_170108_2107_33.mp3]	
"P_.RT8#R3H"	ひきだし	drawer, drawing out	引き出し		[sound:36922254_170108_2107_46.mp3]	
"nxS#$nMR%2"	ひさしぶり	after a long time	久しぶり		[sound:36922255_170108_2108_00.mp3]	
ifmQs^m=_<	わすれもの	lost article	忘れ物		[sound:36922256_170108_2108_15.mp3]	
o4Uym!,tfT	おわり	the end	終わり		[sound:36922257_170108_2108_31.mp3]	
FR&}hJ?E+|	おる	to fold, to break (i.e bone)	折る		[sound:36953308_170110_0158_50.mp3]	
Fb%RIM=+|A	おれる	to be folded, be broken (i.e bone)	折れる		[sound:36953309_170110_0159_05.mp3]	
OnvR{otcDc	かわる	to change	変わる		[sound:36953310_170110_0159_20.mp3]	
Byqs{RY,h	こわす	to break (transitive) (not これる)	壊す		[sound:36953311_170110_0159_36.mp3]	
J&$w@Nf:Dy	こわれる	to be broken	壊れる		[sound:36953312_170110_0159_57.mp3]	
x;y!;I)vqt	すぎる	to exceed	過ぎる		[sound:36953314_170110_0200_14.mp3]	
qEZMIV:ZY1	たおれる	to fall down, topple down	倒れる		[sound:36953315_170110_0200_46.mp3]	
nxZ*TujM$I	なる	to sound	鳴る		[sound:36953316_170110_0201_00.mp3]	
f}wPahMBay	とりかえる	to exchange	取り替える		[sound:36953317_170110_0201_14.mp3]	
QRTIf%zl+.	なおる	to be fixed, to be repaired	直る		[sound:36953318_170110_0201_30.mp3]	
"ohMSQ(`=e#"	おこなう	to do, to occur	行う		[sound:36953319_170110_0201_44.mp3]	
