#separator:tab
#html:true
#guid column:1
#tags column:8
kcxnJQ`uQu	kanji	ja_on	ja_kun	meaning	examples		
"KYwB#9qC<e"	並	ヘイ	なみ、なら・びに、なら・ぶ、なら・べる	line up; line; both; identical; ordinary	並ぶ (ならぶ) to line up; to stand in a line<br>並べる (ならべる) to line up; to arrange in a line		
K5uhIq@9Lj	丸	ガン	まる、まる・い、まる・める	circle; make circular; entirely; perfectly	丸 (まる) circle<br>丸い (まるい) round		
fYOwCzxJQl	任	ニン	まか・す、まか・せる	entrust; shoulder; endure; work; duty	任せる (まかせる) to entrust (e.g. a task) to another; to leave to<br>責任 (せきにん) responsibility		
D3~SNy1QiR	似	ジ	に・る	imitate; resemble	似合う (にあう) to suit; to match<br>真似 (まね) imitating; copying<br>似る (にる) to resemble; to look like; to be similar		
y~K+&sb9rb	余	ヨ	あま・す、あま・る	remainder; surplus	余り (あまり、あんまり) remainder; balance; left over<br>余分 (よぶん) extra; excess<br>余裕 (よゆう) surplus; leeway; flexibility		
s%Jca3fFXP	供	キョウ、ク	そな・える、とも	offer; sacrifice; supply	供給 (きょうきゅう) supply; provision<br>子供 (こども) child; children		
G5-J.)?q02	価	カ	あたい	price; value	価値 (かち) value; worth<br>価格 (かかく) price; value<br>物価 (ぶっか) prices (in general, of commodities)<br>評価 (ひょうか) assessment; evaluation<br>高価 (こうか) high price		
xYb89RYvx-	個	コ		individual	個人 (こじん) individual; personal<br>～個 (～こ) counter for small objects		
e[Pz=?:77O	冊	サク、サツ		tome; volume; counter for books	～冊 (～さつ) counter for bound objects (ex. Books)		
pO{k,B[r,I	再	サ、サイ	ふたた・び	again; twice	再び (ふたたび) again; a second time<br>再度 (さいど) twice; again; second time<br>再来月 (さらいげつ) month after next<br>再来週 (さらいしゅう) week after next<br>再来年 (さらいねん) year after next		
z%L,Mke8Ja	処	ショ		put; fix; place	処理 (しょり) processing; disposal		
"Nq@#{Kisrc"	判	ハン、バン		judgement; seal; signature	判断 (はんだん) judgement; decision<br>審判 (しんぱん) referee; judgement; umpire<br>批判 (ひはん) criticism; judgement<br>裁判 (さいばん) trial; judgement<br>評判 (ひょうばん) reputation; popularity		
q9ebV[^[^/	制	セイ		law; rule; system	予約制 (よやくせい) by reservation<br>制度 (せいど) system; institution<br>制限 (せいげん) restriction; limit		
FV~3X`x^1S	包	ホウ	つつ・む	conceal; pack up; wrap	包み (つつみ) bundle; package<br>小包 (こづつみ) (small) parcel; package<br>包む (つつむ) to wrap up; to pack		
yB[h67N[}@	卒	ソツ		graduate; sudden; private; soldier	卒業論文 (そつぎょうろんぶん) graduation thesis<br>卒業 (そつぎょう) graduation		
e_rmfnVN=M	印	イン	しるし	sumbol; seal; stamp	印 (しるし) mark; sign<br>印刷 (いんさつ) printing<br>印象 (いんしょう) impression		
oa:!c[,Vw7	卵	ラン	たまご	egg; ovum	卵 (たまご) eggs; egg		
bc$Q0:i!$&	厚	コウ	あつ・い	thick; heavy; kind	厚い (あつい) thick; deep		
xEG]xz9/Gi	収	シュウ	おさ・まる、おさ・める	income; obtain; supply; store	収める (おさめる) to make an offering; to finish; to achieve (e.g. a result)<br>収入 (しゅうにゅう) income; revenue<br>収穫 (しゅうかく) harvest; crop<br>吸収 (きゅうしゅう) absorption		
e)}h61`T)s	吹	スイ	ふ・く	blow; breathe; smoke	吹く (ふく) to blow (e.g. wind) | to play a wind instrument		
FTn:-^/lf(	周	シュウ	まわ・り	circumference	周囲 (しゅうい) surroundings<br>周り (まわり) surroundings; vicinity		
l?mx7Zg6FN	器	キ	うつわ	container; vessel; talent; ability; tool	器用 (きよう) skilful; adroit<br>武器 (ぶき) weapon; arms		
"A!#:+d^p]C"	坂	ハン	さか	hill; incline; slope	坂 (さか) slope; hill		
Ba$4!T>/;6	夢	ム	ゆめ	dream; vision	夢中 (むちゅう) daze; engrossment; obsessed with; hooked on<br>夢 (ゆめ) dream		
LP,j%!a]6c	婚	コン		marriage	婚約 (こんやく) engagement; betrothal<br>離婚 (りこん) divorce<br>結婚 (けっこん) marriage		
o5=`;%a)z+	季	キ		seasons	季節 (きせつ) season		
B]nvWFH6nF	寄	キ	よ・せる、よ・る	rely on; entrust to; approach	寄付 (きふ) donation<br>寄る (よる) to drop by; to make a short visit		
v[f4u2&{mo	寝	シン	ね・かす、ね・る	lie down; sleep	寝不足 (ねぶそく) lack of sleep<br>朝寝坊 (あさねぼう) oversleeping<br>寝坊 (ねぼう) oversleeping<br>寝る (ねる) to lie down | to go to bed; to sleep		
ft^{5&gGSO	専	セン	もっぱ・ら	exclusive; solely; devote oneself to	専攻 (せんこう) major (in school or study); specialty<br>専門分野 (せんもんぶんや) area of expertise; specialization<br>専門家 (せんもんか) specialist; professional; authority<br>専門 (せんもん) speciality; area of expertise		
un>4:v?qUz	居	キョ	い・る	exist; reside	居眠り (いねむり) nodding off (when sitting); dozing<br>芝居 (しばい) play; drama		
f0|Qd,Y%}%	届		とど・く、とど・ける	arrive; deliver; forward; notify	届く (とどく) to be delivered<br>届ける (とどける) to deliver		
n[.`D^Nzz[	忙	ボウ	いそが・しい	busy; occupied	忙しい (いそがしい) busy; occupied		
C-*I=BV6bY	慣	カン	な・らす、な・れる	accustomed to; get used to	慣れる (なれる) to get used to<br>習慣 (しゅうかん) habit; custom		
wu]T{!Wb0C	戻	レイ	もど・す、もど・る	return; arrive	戻す (もどす) to return; to restore<br>戻る (もどる) to return; to go back		
EIC-76wpN)	払	フツ	はら・う	pay; oppose	支払い (しはらい) payment<br>支払う (しはらう) to pay<br>払う (はらう) to pay (e.g. money, bill)		
bHFFjK>;`V	技	ギ	わざ	skill; craft	技師 (ぎし) technician; engineer<br>演技 (えんぎ) acting; performance<br>競技 (きょうぎ) game; match<br>技術 (ぎじゅつ) technology; engineering | technique; skill		
PDPCo:1oqO	押	オウ	お・さえる、お・す	push; press; hold down; sign	押し入れ (おしいれ) closet<br>押す (おす) to push; to press		
l6w8-]MyK>	招	ショウ	まね・く	invite; summon	招く (まねく) to invite<br>招待 (しょうたい) invitation		
uSr%J5ODG?	捨	シャ	す・てる	discard; throw away	捨てる (すてる) to throw away		
J[%8/+]/Pr	授	ジュ	さず・かる、さず・ける	impart; instruct	教授 (きょうじゅ) professor<br>授業 (じゅぎょう) lesson; class work		
E@(CIDP_Gq	探	タン	さが・す、さぐ・る	search	探す (さがす) to search for		
sN}Imp+mn7	接	セツ	つ・ぐ	connect; join; meet	直接 (ちょくせつ) direct		
e^B^cH6`kv	換	カン	か・える、か・わる	change; interchange	交換 (こうかん) exchange; substitution<br>乗り換える (のりかえる) to transfer/change (bus, train)		
"=##X.EkYF"	星	ショウ、セイ	ほし	star	星占い (ほしうらない) astrology; horoscope<br>衛星 (えいせい) satellite<br>星 (ほし) star		
D1^b1zBsr.	暖	ダン	あたた・か、あたた・かい、あたた・まる、あたた・める	warmth	温暖 (おんだん) warm; mild; temperate<br>暖房 (だんぼう) heating; heater<br>暖かい (あたたかい) warm; mild; genial		
u5]I-[btZ/	暮	ボ	く・らす、く・れる	livelihood; make a living; to set (ex. sunset); close	暮らし (くらし) living; life circumstances<br>暮らす (くらす) to live; to get along<br>暮れ (くれ) sunset; end; close<br>暮れる (くれる) to get dark; to come to an end		
Pt9YL4kt@e	査	サ		investigate	検査 (けんさ) inspection; examination<br>調査 (ちょうさ) survey		
KuztN5HP!E	根	コン	ね	root	屋根 (やね) roof<br>根 (ね) root (of a plant, tooth, hair, etc.)		
G!xN82Y/W}	植	ショク	う・える、う・わる	plant	植物 (しょくぶつ) plant; vegetation<br>植える (うえる) to plant; to grow		
vc.cM`QUsM	極	キョク、ゴク	きわ・まる、きわ・み、きわ・める	exterme; pole; very; to decide; to enter into	極 (きょく) extreme; zenith; pole<br>積極的 (せっきょくてき) active; proactive; assertive		
iTNldnaQuF	歳	サイ、セイ		age; year; ripen	二十歳 (はたち) 20 years old<br>～歳 (～さい) ~ years old		
,$rLhhBgL	比	ヒ	くら・べる	compare; ratio	比較 (ひかく) comparison<br>比べる (くらべる) to compare		
AqM(H:yn_v	毛	モウ	け	hair; fur	毛布 (もうふ) blanket<br>毛虫 (けむし) hairy caterpillar<br>髪の毛 (かみのけ) hair (head)<br>毛 (け) hair; fur; feathers		
Ij>%u)$on^	浅	セン	あさ・い	shallow; superficial	浅い (あさい) shallow; superficial		
"G.V#RbHpkU"	浴	ヨク	あ・びせる、あ・びる	bathe; take a shower	浴衣 (ゆかた) yukata (Japanese bathrobe)<br>浴びる (あびる) to take a shower		
L+F/UZ}`$Q	混	コン	こ・む、ま・ざる、ま・じる、ま・ぜる	mix; cloud; confuse	人混み (ひとごみ) a crowd of people<br>混乱 (こんらん) disorder; confusion<br>混雑 (こんざつ) crowding; confusion; disorder<br>混む (こむ) to be crowded; to get packed		
yC:R}[!V2(	減	ゲン	へ・らす、へ・る	decline; decrease; reduce	加減 (かげん) adjustment; add and subtract<br>減らす (へらす) to decrease; to diminish<br>減る (へる) to decrease (in size or number); to diminish		
EAI)A!V*Cv	渡	ト	わた・す、わた・る	deliver; hand over; pass	渡す (わたす) to hand over; to transfer<br>渡る (わたる) to cross over		
cy%Bvmg!Yu	準	ジュン		level; make even; conform; guage; standard	水準 (すいじゅん) level; standard<br>準備 (じゅんび) preparation; arrangements		
LQ{]QYH_Kp	演	エン		act; performance; play	演奏 (えんそう) (musical) performance<br>演技 (えんぎ) acting; performance<br>演説 (えんぜつ) speech; address<br>講演 (こうえん) lecture; speech		
k+~_(V|jSi	煙	エン	けむり、けむ・い、けむ・る	smoke	"煙 (けむり) smoke<br>禁煙 (きんえん) ""No Smoking""; quitting smoking"		
Qq08IK)6k]	片	ヘン	かた	fragment; piece; right half	片手 (かたて) one hand<br>片付ける (かたづける) to tidy up; to put away<br>片仮名 (かたかな) katakana		
nr>>G=R5kV	犯	ハン	おか・す	crime; offense	犯人 (はんにん) criminal<br>犯罪 (はんざい) crime; offence		
b^JFI>W?;f	状	ジョウ		circumstances; conditions; form	状態 (じょうたい) current status; condition<br>状況 (じょうきょう) situation; circumstances<br>現状 (げんじょう) present condition<br>症状 (しょうじょう) symptom		
t(mQA+6t3R	独	ドク	ひと・り	alone; single	独り (ひとり) one person; alone; solitary<br>独特 (どくとく) peculiarity; uniqueness<br>独立 (どくりつ) independence; self-support<br>独身 (どくしん) single; unmarried		
t7P@3!il<E	玉	ギョク	たま	jewel; sphere	玉 (たま) sphere; globe; egg		
qt9[1G1~8}	疑	ギ	うたが・う	distrust; doubt; question	疑う (うたがう) to doubt; to suspect<br>疑問 (ぎもん) question; doubt; problem		
OqA+8!>qKE	疲	ヒ	つか・れる	exhausted; tired	疲れ (つかれ) tiredness; fatigue<br>疲れる (つかれる) to get tired; to tire | to be worn out		
B>j0pydN{Q	眠	ミン	ねむ・い、ねむ・る	die; sleep	居眠り (いねむり) nodding off (when sitting); dozing<br>睡眠 (すいみん) sleep<br>眠い (ねむい) sleepy<br>眠る (ねむる) to sleep		
r0QMok7|-a	破	ハ	やぶ・る、やぶ・れる	break; destroy; rip; defeat	破る (やぶる) to tear; to break; to destroy<br>破産 (はさん) bankruptcy		
s!&jMAqqF-	祖	ソ		ancestor; founder	祖母 (そぼ) (my) grandmother<br>祖父 (そふ) (my) grandfather		
y@v51p$eOJ	禁	キン		ban; prohibit; endure	"禁止 (きんし) prohibition; ban<br>禁煙 (きんえん) ""No Smoking""; quitting smoking"		
Kg*}:U*Jm{	秒	ビョウ		second	秒 (びょう) second (unit of time)		
Fzw|37i8|=	移	イ	うつ・す、うつ・る	move; change; transcribe	移す (うつす) to change; to substitute; to transfer<br>移動 (いどう) moving; transfer; migration<br>移る (うつる) to move; to transfer		
"qs#K<H!?<8"	程	テイ	ほど	rule; law; extent; degree	程度 (ていど) degree; amount; grade<br>程（ほど） (ほど) degree; extent		
f{C={YV.i5	算	サン		abacus; count; calculate	予算 (よさん) estimate; budget<br>計算 (けいさん) calculation		
sR}kc>.tQI	節	セチ、セツ	ふし	knot; joint; knuckle; occasion; chance; punctuation	節 (ふし) joint<br>節約 (せつやく) economising; saving<br>季節 (きせつ) season		
q[pG`dy8&Y	簡	カン		simple;  brevity	簡単 (かんたん) simple		
MK3Q9M_y)t	精	ショウ、セイ		purify; refine; spirit; heart; ghost	精神 (せいしん) mind; soul; heart; spirit		
tOY(4e_U*9	糸	シ	いと	string	糸 (いと) thread; string		
wFhu;=^-wx	紅	ク、コウ	くれない、べに	crimson	紅茶 (こうちゃ) black tea		
G(`jst=ak$	絶	ゼツ	た・える、た・つ、た・やす	stand; bear; stop; eradicate; extremely; very	絶対 (ぜったい) absolutely; unconditionally<br>絶滅 (ぜつめつ) extinction; extermination		
g6f4]Ga6zQ	緒	ショ、チョ	お	thread; string; connection; beginning	一緒 (いっしょ) together | at the same time		
F0<AypljFj	罪	ザイ	つみ	crime; sin	犯罪 (はんざい) crime; offence<br>罪 (つみ) crime; sin		
s2t+Ou}@&z	署	ショ		signature; government office; role; duty	署名 (しょめい) signature		
"l*ryi8{H7#"	背	ハイ	せ、せい、そむ・く、そむ・ける	back; behind; abandon; turn one's back on	背が伸びる (せがのびる) to grow (height)<br>背中 (せなか) back (of body)<br>背 (せい) height		
OTqMKN(IxL	能	ノウ		ability; skill	可能 (かのう) possible; feasible<br>才能 (さいのう) talent; ability<br>有能 (ゆうのう) able; capable<br>機能 (きのう) function; feature<br>能力 (のうりょく) ability; faculty		
yYod?<GffL	裏	リ	うら	reverse; backside; internal	裏切る (うらぎる) to betray<br>裏 (うら) bottom; back		
Rjy/(+}/Ag	規	キ		compass; standard; to correct; measure	規則 (きそく) rule; regulation		
o&Jhk1saH0	訪	ホウ	おとず・れる、たず・ねる	visit; call on	訪問 (ほうもん) call; visit<br>訪ねる (たずねる) to visit; to call on		
Lv}xzU)=Wp	許	キョ	ゆる・す	approve; permit	免許 (めんきょ) license<br>許す (ゆるす) to permit; to allow; to forgive<br>許可 (きょか) permission; approval		
t`1eVcU@zp	誤	ゴ	あやま・る	error; mistake; wrong	誤り (あやまり) error; mistake<br>誤解 (ごかい) misunderstanding		
w+eL7Nh}G,	論	ロン		argue; discuss; point of view	卒業論文 (そつぎょうろんぶん) graduation thesis<br>理論 (りろん) theory<br>結論 (けつろん) conclusion<br>論文 (ろんぶん) thesis; essay<br>議論 (ぎろん) argument; discussion		
dVjav(^/sb	識	シキ		to know; record; write down	常識 (じょうしき) common sense<br>意識 (いしき) consciousness; awareness<br>知識 (ちしき) knowledge		
I-Z~wP=J_U	財	サイ、ザイ		assets; wealth	財産 (ざいさん) property; assets<br>財布 (さいふ) purse; wallet		
H@D2.F@T[Z	貧	ヒン、ビン	まず・しい	poverty	貧しい (まずしい) poor; scanty; inadequate		
J.YJ|mQUnc	責	セキ	せ・める	blame; condemn	責める (せめる) to blame; to criticize; to press; to persecute<br>責任 (せきにん) responsibility		
"DU_!.Fd!.#"	農	ノウ		agriculture	農家 (のうか) farmer<br>農業 (のうぎょう) agriculture<br>農民 (のうみん) farmer		
l[)Hn_x-At	辺	ヘン	あた・り	boundary; border; vicinity	この辺り (このあたり) this area; around here<br>辺り (あたり) neighborhood; vicinity; nearby<br>辺 (へん) area; vicinity		
u+NL<T/bL2	込		こ・む、こ・める	crowded; included; packed	申し込む (もうしこむ) to apply for<br>込む (こむ) to be crowded; to be packed		
dy.lxJQz((	迷	メイ	まよ・う	be lost; confused; unclear; hesitate	迷う (まよう) to be lose one's way; to be puzzled<br>迷子 (まいご) lost child<br>迷惑 (めいわく) trouble; annoyance<br>迷惑メール (めいわくメール) spam (email)		
J4FjVh>*~*	退	タイ	しりぞ・く、しりぞ・ける	withdraw; retreat; retire; repel	引退 (いんたい) retirement<br>退屈 (たいくつ) tedium; boredom; dullness<br>退院 (たいいん) discharge from hospital		
xKN!Jn<z9A	遅	チ	おく・らす、おく・れる、おそ・い	late; slow	"遅刻 (ちこく) being late<br>遅れる (おくれる) to be late<br>遅い (おそい) slow | late (e.g. ""late at night"")"		
ICa-YU-3nE	違	イ	ちが・う、ちが・える	differ	違い (ちがい) difference<br>違いない (ちがいない) sure; for certain; no mistaking it<br>違反 (いはん) violation; offense<br>間違い (まちがい) mistake; error<br>間違いない (まちがいない) sure; for certain; no mistaking it<br>間違う (まちがう) to make a mistake; to be mistaken<br>間違える (まちがえる) to make a mistake<br>違う (ちがう) to differ (from)		
p);L<zCNva	郵	ユウ		(postal) mail	郵便 (ゆうびん) postal service; mail<br>郵便局 (ゆうびんきょく) post office		
s678GJm(Zx	防	ボウ	ふせ・ぐ	defend; resist; surround; rival; equal	予防 (よぼう) prevention<br>消防 (しょうぼう) fire fighting<br>防ぐ (ふせぐ) to defend against; to prevent; to avoid		
E=1~G9x>c4	除	ジ、ジョ	のぞ・く	exclude; remove; division (math)	除く (のぞく) to remove; to eliminate; to exclude<br>掃除 (そうじ) cleaning		
JGJso,rdGE	頂	チョウ	いただき、いただ・く	peak; summit	頂きます (いただきます) expression of gratitude before meals<br>頂上 (ちょうじょう) top; summit; peak<br>頂く (いただく) (hum) to receive		
il5:97R3x(	順	ジュン		obey; follow; well behaved; order; sequence	順 (じゅん) order; ranking<br>順番 (じゅんばん) order; sequential order<br>順調 (じゅんちょう) favourable; OK; all right		
Ctz*t>_8D4	預	ヨ	あず・かる、あず・ける	entrust to; deposit	預ける (あずける) to entrust; to deposit; to leave in one's care		
vxoOunx^_o	額	ガク	ひたい	forehead; fixed amount; plaque; sign	金額 (きんがく) amount of money<br>額 (ひたい) forehead; brow		
vJ5M^?h.x8	骨	コツ	ほね	bone	骨 (ほね) bone<br>骨折 (こっせつ) broken bone		
IY,v)u@B7j	与	ヨ	あた・える	award; bestow; take part in; cooperate	与える (あたえる) to give; to bestow		
PA6Jf3qZaq	久	キュウ、ク	ひさ・しい	long time	永久 (えいきゅう) eternity; perpetuity<br>久しぶり (ひさしぶり) a long time; it's been a while		
I{juzgQR=[	互	ゴ	たが・い	mutually; reciprocally	お互い (おたがい) mutual; reciprocal		
x!EyZ1hp6I	倒	トウ	たお・す、たお・れる	knock down; fall; collapse	倒す (たおす) to knock down; to ruin<br>面倒 (めんどう) trouble; bother<br>倒れる (たおれる) to fall; to collapse | to be ruined | to be defeated (in a game)		
rA54k@)192	偶	グウ		unexpected; accidentally; even number; same kind	偶然 (ぐうぜん) coincidence		
C+zM<1?q}>	到	トウ		arrive; attain; invert	到着 (とうちゃく) arrival		
yqV<I?mjMt	刺	シ	さ・さる、さ・す	stab; pierce; calling card	刺激 (しげき) stimulus		
yGKc20wg&v	効	コウ	き・く	benefit; efficacy	効く (きく) to be effective<br>効果 (こうか) effect; efficacy<br>効果的 (こうかてき) effective; successful<br>有効 (ゆうこう) effective		
j5CtA|H.y{	可	カ		can; passable	不可 (ふか) not possible<br>不可能 (ふかのう) impossible<br>可能 (かのう) possible; feasible<br>許可 (きょか) permission; approval<br>可愛い (かわいい) cute; adorable; charming		
QeObg*|w}U	善	ゼン	よ・い	good; virtuous	改善 (かいぜん) improvement		
E~j=?PFbh6	均	キン		average; level	平均 (へいきん) average; mean; balance; equilibrium		
"V_3_o]T#%"	城	ジョウ	しろ	castle	城 (しろ) castle		
A8<gh@~&?(	域	イキ		level; limit; range	地域 (ちいき) area; region		
"GMV2S^Yj#9"	基	キ	もと、もとい	foundation; basis; be based on	基づく (もとづく) to be based on; to originate from<br>基本 (きほん) foundation; basis		
B~`zEz*2)_	士	シ		gentleman; samurai	博士 (はかせ、はかし) doctorate; PhD<br>弁護士 (べんごし) lawyer; attorney		
jSaW@tj0R$	奥	オウ	おく	interior; all the way inside	奥 (おく) inside; interior; depths; back<br>奥さん (おくさん) (hon) wife; your wife		
o<=H@p0v76	娘		むすめ	daughter	娘 (むすめ) (my) daughter		
uKRe|7M-6y	宝	ホウ	たから	treasure	宝 (たから) treasure<br>宝くじ (たからくじ) lottery | lottery ticket<br>宝石 (ほうせき) gem; jewel		
Fk-}/N$FD;	導	ドウ	みちび・く	guide; lead	指導 (しどう) guidance; instruction<br>指導員 (しどういん) instructor		
wzBa@UNKCz	布	フ	ぬの	cloth	布 (ぬの) cloth<br>毛布 (もうふ) blanket<br>布団 (ふとん) futon<br>財布 (さいふ) purse; wallet		
KkCT@k,bd]	張	チョウ	は・る	stretch; spread; play (string instrument)	主張 (しゅちょう) claim; assertion<br>引っ張る (ひっぱる) to pull out; to draw out<br>緊張 (きんちょう) nervousness; stress<br>頑張る (がんばる) to persevere; to persist		
l4ACm>{)%~	彼	ヒ	かの、かれ	he	彼 (かれ) he; him<br>彼ら (かれら) they (usually male); them<br>彼女 (かのじょ) she; her | girlfriend		
"r&0;,#sP{K"	怒	ド	いか・る、おこ・る	to become angry	怒る (おこる) to get angry		
q&@/_T7Y&;	怖	フ	こわ・い	be frightened; afraid	恐怖 (きょうふ) fear; dread<br>怖い (こわい) scary; frightening		
BVDR0v2^mz	恐	キョウ	おそ・れる、おそ・ろしい	fear; awe	恐れる (おそれる) to fear<br>恐ろしい (おそろしい) dreadful; terrifying; frightening<br>恐怖 (きょうふ) fear; dread		
s7fz>B{=K:	恥	チ	はじ、は・じらう、は・じる、は・ずかしい	dishonor	恥ずかしい (はずかしい) embarrassed; shameful; shy		
DPSolk*}fq	抱	ホウ	いだ・く、かか・える、だ・く	embrace; hold	抱える (かかえる) to hold or carry under or in the arms<br>抱く (いだく、だく) to embrace; to hug		
KdFu!qS3![	普	フ		widely; generally; universally	普段 (ふだん) usual; everyday<br>普通 (ふつう) usual; ordinary		
n/d:KE1>3`	更	コウ	さら、ふ・かす、ふ・ける	to change; alternately; by turns; to pass; futhermore	変更 (へんこう) change; alteration<br>更に (さらに) furthermore; moreover		
Oz&o9y!yan	替	タイ	か・える、か・わる	exchange; substitute	両替 (りょうがえ) money exchange<br>替える (かえる) to replace; to exchange; to substitute<br>取り替える (とりかえる) to exchange; to replace		
"gp_U=w3g#_"	机	キ	つくえ	desk; table	机 (つくえ) desk		
bK?E2s5m<E	杯	ハイ	さかずき	counter for cups, glasses	～杯 (～はい) counter for cups (of liquid)		
L^_gl_=hq-	松	ショウ	まつ	pine tree	松 (まつ) pine tree		
JcWu)HL]Vb	汗	カン	あせ	sweat	汗 (あせ) sweat; perspiration; condensation		
DWDsVU[gmI	汚	オ	きたな・い、けが・す、けが・らわしい、けが・れる、よご・す、よご・れる	dirty; pollute; disgrace	汚染 (おせん) pollution; contamination<br>汚れる (よごれる) to become dirty<br>汚い (きたない) dirty; unclean | disordered; messy		
rrXs`a+^a}	泊	ハク	と・まる、と・める	overnight stay	宿泊 (しゅくはく) lodging<br>泊まる (とまる) to stay at (e.g. hotel)		
MmRM>m>TB_	津	シン	つ	harbor; soak; spill; soup; bodily fluid	津波 (つなみ) tidal wave		
&7w-JB;(Q	涙	ルイ	なみだ	tears	涙 (なみだ) tears		
yrd?0_def<	燃	ネン	も・える、も・す、も・やす	blaze; burn; glow	燃える (もえる) to burn		
HzVgOkY^>n	猫	ビョウ	ねこ	cat	猫 (ねこ) cat		
qC8]{y-K.B	異	イ	こと	different; uncommon	異なる (ことなる) to differ<br>異常 (いじょう) abnormality; strangeness		
g5t/LzmAK^	皆	カイ	みな	all; everything; everyone	皆 (みんな、みな) everyone; everybody<br>皆 (みんな、みな) all; everyone<br>皆さん (みなさん) all; everyone		
"j)W$#)/lhp"	盗	トウ	ぬす・む	steal	強盗 (ごうとう) mugger; burgler<br>盗む (ぬすむ) to steal		
"PlBVC6MR#l"	突	トツ	つ・く	collide; sudden	突然 (とつぜん) abrupt; sudden; unexpected<br>衝突 (しょうとつ) collision; crash | conflict		
"tM;:$U#owD"	絡	ラク	から・まる、から・む	entwine; coil around; connect; logical thread	連絡 (れんらく) to contact; to get in touch		
q[>=H&S8>2	舞	ブ	まい、ま・う	dance; encourage	舞台 (ぶたい) stage (theatre)<br>お見舞い (おみまい) visiting/seeing someone who is ill		
IzhjjX*7]<	薄	ハク	うす・い、うす・まる、うす・める、うす・らぐ、うす・れる	think; shallow; weak (taste, etc.)	薄い (うすい) thin | weak (taste, etc.)		
Ml)=4i43dd	街	カイ、ガイ	まち	street; town	商店街 (しょうてんがい) shopping area; shopping arcade<br>街 (まち) city; town		
Ph.mZql9F{	講	コウ		reconcile; make peace with; learn; discuss	講演 (こうえん) lecture; speech<br>講堂 (こうどう) auditorium; lecture hall<br>講義 (こうぎ) lecture		
v9Dhf5L5uM	豆	ズ、トウ	まめ	bean	納豆 (なっとう) natto (fermented soybeans)<br>豆 (まめ) legume; bean<br>豆腐 (とうふ) tofu; bean curd; beancurd		
M`O@O8&(+7	越	エツ	こ・える、こ・す	exceed; surpass	引っ越し (ひっこし) moving; changing residence<br>越える (こえる) to exceed; to pass<br>越す (こす) to cross over (e.g. mountain); to surpass<br>引っ越す (ひっこす) to move; to change residence		
uB5A)48;8h	迎	ゲイ	むか・える	greet; welcome	歓迎 (かんげい) welcome; reception<br>迎え (むかえ) meeting; greeting<br>迎える (むかえる) to pickup; to greet; to receive		
nW*QG~%nU?	述	ジュツ	の・べる	mention; relate; speak; state	述べる (のべる) to state; to mention		
w|/!Pz_-@:	逃	トウ	に・がす、に・げる、のが・す、のが・れる	escape; evade; set free	逃げる (にげる) to escape; to run away		
HdnlQuY$s,	逆	ギャク	さか、さか・らう	opposite; reversed	逆 (ぎゃく) opposite<br>逆らう (さからう) to oppose; to defy		
C.tjs&EbeZ	途	ト		road; path	～途端 (～とたん) just as; at the moment of<br>途中 (とちゅう) on the way to; in the middle of		
pxGu0sG;$1	震	シン	ふる・う、ふる・える	shake; tremble	震える (ふるえる) to shiver; to shake<br>地震 (じしん) earthquake		
O}YnigoX]m	靴	カ	くつ	shoes	靴 (くつ) shoes; footwear<br>靴下 (くつした) socks		
F!is7>`5@X	頼	ライ	たの・む、たの・もしい、たよ・る	request; rely on; trust	依頼 (いらい) request; commission<br>信頼 (しんらい) reliance; confidence<br>信頼関係 (しんらいかんけい) trusting relationship<br>頼る (たよる) to rely on; to count on<br>頼む (たのむ) to request		
g],K6L1pfm	髪	ハツ	かみ	hair (on the head)	髪の毛 (かみのけ) hair (head)<br>髪型 (かみがた) hair style<br>髪 (かみ) hair (on the head)		
h,qGZx2QO4	齢	レイ		age	年齢 (ねんれい) age; years		
